UC1,PN,04-14-2017,03:26,Not-Running
UC2,UN,04-14-2017,03:26,Not-Running
UC2,PN,04-14-2017,03:26,Not-Running
TA1,UN,04-14-2017,03:32,Running
TA1,PN,04-14-2017,03:32,Running
TA2,UN,04-14-2017,03:32,Running
TA2,PN,04-14-2017,03:32,Running
TA3,UN,04-14-2017,03:32,Running
TA3,PN,04-14-2017,03:32,Not-Running
TP1,UN,04-14-2017,03:32,Not-Running
TP1,PN,04-14-2017,03:32,Not-Running
TP2,UN,04-14-2017,03:32,Not-Running
TP2,PN,04-14-2017,03:32,Not-Running
TP3,UN,04-14-2017,03:32,Not-Running
TP3,PN,04-14-2017,03:32,Not-Running
UU1,UN,04-14-2017,03:32,Not-Running
UU1,PN,04-14-2017,03:32,Not-Running
UU2,UN,04-14-2017,03:32,Not-Running
UU2,PN,04-14-2017,03:32,Not-Running
UU3,UN,04-14-2017,03:32,Not-Running
UU3,PN,04-14-2017,03:32,Not-Running
UU4,UN,04-14-2017,03:32,Not-Running
UU4,PN,04-14-2017,03:32,Not-Running
UC1,UN,04-14-2017,03:32,Not-Running
UC1,PN,04-14-2017,03:32,Not-Running
UC2,UN,04-14-2017,03:32,Not-Running
UC2,PN,04-14-2017,03:32,Not-Running
TA1,UN,04-14-2017,03:51,Running
TA1,PN,04-14-2017,03:51,Running
TA2,UN,04-14-2017,03:51,Running
TA2,PN,04-14-2017,03:51,Running
TA3,UN,04-14-2017,03:51,Running
TA3,PN,04-14-2017,03:51,Running
TP1,UN,04-14-2017,03:51,Not-Running
TP1,PN,04-14-2017,03:51,Not-Running
TP2,UN,04-14-2017,03:51,Not-Running
TP2,PN,04-14-2017,03:51,Not-Running
TP3,UN,04-14-2017,03:51,Not-Running
TP3,PN,04-14-2017,03:51,Not-Running
UU1,UN,04-14-2017,03:51,Not-Running
UU1,PN,04-14-2017,03:51,Not-Running
UU2,UN,04-14-2017,03:51,Not-Running
UU2,PN,04-14-2017,03:51,Not-Running
UU3,UN,04-14-2017,03:51,Not-Running
UU3,PN,04-14-2017,03:51,Not-Running
UU4,UN,04-14-2017,03:51,Not-Running
UU4,PN,04-14-2017,03:51,Not-Running
UC1,UN,04-14-2017,03:51,Not-Running
UC1,PN,04-14-2017,03:51,Not-Running
UC2,UN,04-14-2017,03:51,Not-Running
UC2,PN,04-14-2017,03:51,Not-Running
TA1,UN,04-14-2017,04:15,Running
TA1,PN,04-14-2017,04:15,Running
TA2,UN,04-14-2017,04:15,Running
TA2,PN,04-14-2017,04:15,Running
TA3,UN,04-14-2017,04:15,Running
TA3,PN,04-14-2017,04:15,Running
TP1,UN,04-14-2017,04:15,Running
TP1,PN,04-14-2017,04:15,Running
TP2,UN,04-14-2017,04:15,Running
TP2,PN,04-14-2017,04:15,Running
TP3,UN,04-14-2017,04:15,Running
TP3,PN,04-14-2017,04:15,Running
UU1,UN,04-14-2017,04:15,Running
UU1,PN,04-14-2017,04:15,Running
UU2,UN,04-14-2017,04:15,Running
UU2,PN,04-14-2017,04:15,Running
UU3,UN,04-14-2017,04:15,Running
UU3,PN,04-14-2017,04:15,Running
UU4,UN,04-14-2017,04:15,Running
UU4,PN,04-14-2017,04:15,Running
UC1,UN,04-14-2017,04:15,Not-Running
UC1,PN,04-14-2017,04:15,Not-Running
UC2,UN,04-14-2017,04:15,Not-Running
UC2,PN,04-14-2017,04:15,Not-Running
TA1,UN,04-14-2017,04:19,Running
TA1,PN,04-14-2017,04:19,Running
TA2,UN,04-14-2017,04:19,Running
TA2,PN,04-14-2017,04:19,Running
TA3,UN,04-14-2017,04:19,Running
TA3,PN,04-14-2017,04:19,Running
TP1,UN,04-14-2017,04:19,Running
TP1,PN,04-14-2017,04:19,Running
TP2,UN,04-14-2017,04:19,Running
TP2,PN,04-14-2017,04:19,Running
TP3,UN,04-14-2017,04:19,Running
TP3,PN,04-14-2017,04:19,Running
UU1,UN,04-14-2017,04:19,Running
UU1,PN,04-14-2017,04:19,Running
UU2,UN,04-14-2017,04:19,Running
UU2,PN,04-14-2017,04:19,Running
UU3,UN,04-14-2017,04:19,Running
UU3,PN,04-14-2017,04:19,Running
UU4,UN,04-14-2017,04:19,Running
UU4,PN,04-14-2017,04:19,Running
UC1,UN,04-14-2017,04:19,Running
UC1,PN,04-14-2017,04:19,Running
UC2,UN,04-14-2017,04:19,Running
UC2,PN,04-14-2017,04:19,Running
TA1,UN,04-14-2017,05:01,Running
TA1,PN,04-14-2017,05:01,Running
TA2,UN,04-14-2017,05:01,Running
TA2,PN,04-14-2017,05:01,Running
TA3,UN,04-14-2017,05:01,Running
TA3,PN,04-14-2017,05:01,Running
TP1,UN,04-14-2017,05:01,Running
TP1,PN,04-14-2017,05:01,Running
TP2,UN,04-14-2017,05:01,Running
TP2,PN,04-14-2017,05:01,Running
TP3,UN,04-14-2017,05:01,Running
TP3,PN,04-14-2017,05:01,Running
UU1,UN,04-14-2017,05:01,Running
UU1,PN,04-14-2017,05:01,Running
UU2,UN,04-14-2017,05:01,Running
UU2,PN,04-14-2017,05:01,Running
UU3,UN,04-14-2017,05:01,Running
UU3,PN,04-14-2017,05:01,Running
UU4,UN,04-14-2017,05:01,Running
UU4,PN,04-14-2017,05:01,Running
UC1,UN,04-14-2017,05:01,Running
UC1,PN,04-14-2017,05:01,Running
UC2,UN,04-14-2017,05:01,Running
UC2,PN,04-14-2017,05:01,Running
TA1,UN,04-14-2017,12:52,Running
TA1,PN,04-14-2017,12:52,Running
TA2,UN,04-14-2017,12:52,Running
TA2,PN,04-14-2017,12:52,Running
TA3,UN,04-14-2017,12:52,Running
TA3,PN,04-14-2017,12:52,Running
TP1,UN,04-14-2017,12:52,Running
TP1,PN,04-14-2017,12:52,Running
TP2,UN,04-14-2017,12:52,Running
TP2,PN,04-14-2017,12:52,Running
TP3,UN,04-14-2017,12:52,Running
TP3,PN,04-14-2017,12:52,Running
UU1,UN,04-14-2017,12:52,Running
UU1,PN,04-14-2017,12:52,Running
UU2,UN,04-14-2017,12:52,Running
UU2,PN,04-14-2017,12:52,Running
UU3,UN,04-14-2017,12:52,Running
UU3,PN,04-14-2017,12:52,Running
UU4,UN,04-14-2017,12:52,Running
UU4,PN,04-14-2017,12:52,Running
UC1,UN,04-14-2017,12:52,Running
UC1,PN,04-14-2017,12:52,Running
UC2,UN,04-14-2017,12:52,Running
UC2,PN,04-14-2017,12:52,Running
TA1,UN,04-14-2017,23:49,Running
TA1,PN,04-14-2017,23:49,Running
TA2,UN,04-14-2017,23:49,Running
TA2,PN,04-14-2017,23:49,Running
TA3,UN,04-14-2017,23:49,Running
